TA_ID,TAMBON_T,TAMBON_E,AM_ID,LAT,LONG
921003,ต. ตะเสะ,Tase,9210,7.118,99.426
860304,ต. ชุมโค,Chum Kho,8603,10.701,99.41
100103,แขวง วัดราชบพิธ,Wat Ratchabophit,1001,13.75,100.499
200901,ต. สัตหีบ,Sattahip,2009,12.676,100.823
830301,ต. เทพกระษัตรี,Thep Krasattri,8303,8.108,98.405
810802,ต. เกาะศรีบอยา,Ko Si Boya,8108,7.869,99.044
860801,ต. ปากตะโก,Pak Tako,8608,10.145,99.178
810802,ต. เกาะศรีบอยา,Ko Si Boya,8108,7.808,98.991
810106,ต. เขาทอง,Khao Thong,8101,8.106,98.707
810116,ต. อ่าวนาง,Ao Nang,8101,7.817,98.795
810802,ต. เกาะศรีบอยา,Ko Si Boya,8108,7.879,99.046
840401,ต. อ่างทอง,Ang Thong,8404,9.446,99.652
830304,ต. ป่าคลอก,Pa Khlok,8303,8.028,98.461
810106,ต. เขาทอง,Khao Thong,8101,8.12,98.678
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.297,98.694
840401,ต. อ่างทอง,Ang Thong,8404,9.783,99.673
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.694,99.858
920401,ต. ท่าข้าม,Tha Kham,9204,7.127,99.699
840501,ต. เกาะพะงัน,Ko Pha-Ngan,8405,9.706,99.948
810303,ต. เกาะกลาง,Ko Klang,8103,7.746,99.126
810802,ต. เกาะศรีบอยา,Ko Si Boya,8108,7.847,98.983
100104,แขวง สำราญราษฎร์,Samran Rat,1001,13.751,100.503
840406,ต. บ่อผุด,Bo Phut,8404,9.539,100.081
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.828,97.802
810304,ต. คลองยาง,Khlong Yang,8103,7.855,99.053
810301,ต. เกาะลันตาใหญ่,Ko Lanta Yai,8103,7.496,99.12
921003,ต. ตะเสะ,Tase,9210,7.108,99.428
810105,ต. เขาคราม,Khao Khram,8101,8.217,98.73
230701,ต. เกาะช้าง,Ko Chang,2307,12.161,102.247
200904,ต. บางเสร่,Bang Sare,2009,12.761,100.844
850109,ต. เกาะพยาม,Ko Phayam,8501,9.782,98.447
220602,ต. เกาะเปริด,Ko Proet,2206,12.409,102.122
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.543,99.261
850109,ต. เกาะพยาม,Ko Phayam,8501,9.736,98.486
840401,ต. อ่างทอง,Ang Thong,8404,9.667,99.666
810106,ต. เขาทอง,Khao Thong,8101,8.101,98.69
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.716,99.887
850109,ต. เกาะพยาม,Ko Phayam,8501,9.866,98.472
840403,ต. ตลิ่งงาม,Taling Ngam,8404,9.31,99.892
210305,ต. กร่ำ,Kram,2103,12.611,101.687
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.521,99.699
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.523,99.692
100109,แขวง ชนะสงคราม,Chana Songkhram,1001,13.762,100.495
850109,ต. เกาะพยาม,Ko Phayam,8501,9.769,98.464
840403,ต. ตลิ่งงาม,Taling Ngam,8404,9.314,99.913
840401,ต. อ่างทอง,Ang Thong,8404,9.679,99.681
830107,ต. ราไวย์,Rawai,8301,7.76,98.392
850501,ต. นาคา,Nakha,8505,9.514,98.36
100204,แขวง สี่แยกมหานาค,Si Yaek Maha Nak,1002,13.758,100.517
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.294,98.699
830107,ต. ราไวย์,Rawai,8301,7.757,98.331
810302,ต. เกาะลันตาน้อย,Ko Lanta Noi,8103,7.613,99.149
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.421,97.83
230601,ต. เกาะหมาก,Ko Mak,2306,11.774,102.392
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.698,99.841
840403,ต. ตลิ่งงาม,Taling Ngam,8404,9.37,99.977
850501,ต. นาคา,Nakha,8505,9.569,98.384
810118,ต. คลองประสงค์,Khlong Prasong,8101,7.972,98.809
100804,แขวง บ้านบาตร,Ban Bat,1008,13.752,100.507
830107,ต. ราไวย์,Rawai,8301,7.485,98.316
830304,ต. ป่าคลอก,Pa Khlok,8303,8.06,98.446
850105,ต. ปากน้ำ,Pak Nam,8501,9.902,98.512
810304,ต. คลองยาง,Khlong Yang,8103,7.833,99.02
100110,แขวง บ้านพานถม,Ban Phan Thom,1001,13.762,100.503
830105,ต. รัษฎา,Radsada,8301,7.829,98.415
850105,ต. ปากน้ำ,Pak Nam,8501,9.931,98.483
101303,แขวง ตลาดน้อย,Talad Noi,1013,13.734,100.513
100802,แขวง วัดเทพศิรินทร์,Wad Depsirin,1008,13.749,100.512
100111,แขวง บางขุนพรหม,Bang Khun Phrom,1001,13.765,100.505
200103,ต. บ้านโขด,Ban Khot,2001,13.376,100.99
850502,ต. กำพวน,Kamphuan,8505,9.436,98.352
920504,ต. ไม้ฝาด,Mai Fat,9205,7.494,99.302
100805,แขวง วัดโสมนัส,,1008,13.759,100.511
200905,ต. แสมสาร,Samae San,2009,12.521,100.97
101302,แขวง สัมพันธวงศ์,,1013,13.739,100.511
810118,ต. คลองประสงค์,Khlong Prasong,8101,7.954,98.806
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.709,99.894
100107,แขวง บวรนิเวศ,Bowon Niwet,1001,13.757,100.501
100405,แขวง สี่พระยา,,1004,13.725,100.514
830103,ต. เกาะแก้ว,Ko Kaeo,8301,7.953,98.451
101301,แขวง จักรวรรดิ,,1013,13.741,100.504
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.584,99.455
100112,แขวง วัดสามพระยา,Wat Sam Phraya,1001,13.768,100.499
810106,ต. เขาทอง,Khao Thong,8101,8.079,98.677
200901,ต. สัตหีบ,Sattahip,2009,12.644,100.889
860408,ต. บางน้ำจืด,Bang Nam Chuet,8604,10.051,99.188
100803,แขวง คลองมหานาค,,1008,13.753,100.513
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.564,99.345
801503,ต. ท้องเนียน,Thong Nian,8015,9.324,99.775
100404,แขวง บางรัก,Bangrak,1004,13.727,100.527
100801,แขวง ป้อมปราบ,Prompab,1008,13.743,100.514
740103,ต. โกรกกราก,Krok Krak,7401,13.533,100.276
840401,ต. อ่างทอง,Ang Thong,8404,9.548,99.663
100401,แขวง มหาพฤฒาราม,Mahaphuktharam,1004,13.734,100.52
810304,ต. คลองยาง,Khlong Yang,8103,7.848,99.069
850305,ต. บางหิน,Bang Hin,8503,9.575,98.515
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.371,97.866
810303,ต. เกาะกลาง,Ko Klang,8103,7.738,99.126
840401,ต. อ่างทอง,Ang Thong,8404,9.612,99.712
101502,แขวง หิรัญรูจี,Hirunriji,1015,13.731,100.49
220205,ต. บางชัน,Bang Chan,2202,12.292,102.239
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.714,99.878
840403,ต. ตลิ่งงาม,Taling Ngam,8404,9.307,99.961
840401,ต. อ่างทอง,Ang Thong,8404,9.429,99.671
101801,แขวง สมเด็จเจ้าพระยา,Somdejchaophaya,1018,13.731,100.497
860706,ต. ด่านสวี,Dan Sawi,8607,10.254,99.256
840401,ต. อ่างทอง,Ang Thong,8404,9.698,99.675
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.593,97.63
100102,แขวง วังบูรพาภิรมย์,Wang Burapha Phirom,1001,13.744,100.499
200905,ต. แสมสาร,Samae San,2009,12.586,100.963
200102,ต. มะขามหย่ง,Makham Yong,2001,13.372,100.985
840401,ต. อ่างทอง,Ang Thong,8404,9.658,99.681
101501,แขวง วัดกัลยาณ์,Watkanraya,1015,13.737,100.493
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.673,97.638
100402,แขวง สีลม,Silom,1004,13.73,100.525
810302,ต. เกาะลันตาน้อย,Ko Lanta Noi,8103,7.589,99.144
810802,ต. เกาะศรีบอยา,Ko Si Boya,8108,7.886,99.052
810502,ต. แหลมสัก,Laem Sak,8105,8.235,98.642
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.683,99.863
102210,แขวง คูหาสวรรค์,Kuhasawan,1022,13.727,100.457
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.395,99.345
141201,ต. เสนา,Sena,1412,14.328,100.404
101601,แขวง วัดอรุณ,Wat Arun,1016,13.743,100.486
160102,ต. ท่าหิน,Tha Hin,1601,14.802,100.611
921003,ต. ตะเสะ,Tase,9210,7.047,99.471
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.704,99.877
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.715,99.81
101802,แขวง คลองสาน,Khongsan,1018,13.735,100.504
110401,ต. เทศบาลเมืองพระประแดง,Talat,1104,13.656,100.533
150102,ต. บางแก้ว,Bang Kaeo,1501,14.588,100.459
840401,ต. อ่างทอง,Ang Thong,8404,9.649,99.668
810303,ต. เกาะกลาง,Ko Klang,8103,7.706,99.117
103704,แขวง มักกะสัน,Makkasan,1037,13.752,100.528
200901,ต. สัตหีบ,Sattahip,2009,12.638,100.871
102206,แขวง บางจาก,Bangchak,1022,13.727,100.45
101901,แขวง คลองชักพระ,Khongchakphra,1019,13.76,100.456
850501,ต. นาคา,Nakha,8505,9.544,98.482
140102,ต. กะมัง,Kamang,1401,14.341,100.581
850105,ต. ปากน้ำ,Pak Nam,8501,9.916,98.514
850305,ต. บางหิน,Bang Hin,8503,9.577,98.485
100202,แขวง วชิรพยาบาล,Wachira Phayaban,1002,13.778,100.505
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.567,99.45
100701,แขวง รองเมือง,Rongmueng,1007,13.744,100.52
103702,แขวง ถนนพญาไท,Phaya Thai,1037,13.757,100.538
940102,ต. อาเนาะรู,A Noru,9401,6.87,101.256
840401,ต. อ่างทอง,Ang Thong,8404,9.469,99.67
150101,ต. ตลาดหลวง,Talat Luang,1501,14.592,100.453
101503,แขวง บางยี่เรือ,Bangyiruea,1015,13.72,100.482
200905,ต. แสมสาร,Samae San,2009,12.52,100.956
500102,ต. พระสิงห์,Phra Sing,5001,18.785,98.985
810116,ต. อ่าวนาง,Ao Nang,8101,7.681,98.768
810803,ต. คลองขนาน,Khlong Khanan,8108,7.941,99.072
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.699,99.909
940103,ต. จะบังติกอ,Chabang Tiko,9401,6.857,101.251
180301,ต. วัดสิงห์,Wat Sing,1803,15.263,100.041
100702,แขวง วังใหม่,Wangmai,1007,13.742,100.526
140103,ต. หอรัตนไชย,Ho Rattana Chai,1401,14.354,100.578
102004,แขวง ศิริราช,Siriraj,1020,13.759,100.481
